x;y f(x) = x² + sin(2x) * 2 - 0.3*x
-5.0;27.597976504838964
-4.795918367346939;24.769408798133902
-4.591836734693878;21.99791875796625
-4.387755102040816;19.38997533021331
-4.183673469387755;17.011349264816193
-3.979591836734694;15.037403264359607
-3.7755102040816326;13.509800219181667
-3.571428571428571;12.326622476042516
-3.36734693877551;11.467193147051113
-3.163265306122449;10.879414722889042
-2.9591836734693877;10.348813243310222
-2.7551020408163263;9.80434806361458
-2.5510204081632653;9.127933234222178
-2.3469387755102042;8.173594980521422
-2.142857142857143;7.020889409522324
-1.9387755102040813;5.671832968547363
-1.7346938775510203;4.153227019816849
-1.5306122448979593;2.6476791146672367
-1.3265306122448979;1.2008229418314669
-1.1224489795918364;0.005844284585071118
-0.9183673469387754;-0.7814708545840978
-0.7142857142857144;-1.2598318828356108
-0.5102040816326525;-1.289923145941063
-0.3061224489795915;-0.9923593576934864
-0.1020408163265305;-0.37519895449236124
0.1020408163265305;0.38735440818922434
0.3061224489795915;1.1282664299592964
0.5102040816326534;1.819404080230974
0.7142857142857144;2.263711746292811
0.9183673469387754;2.4917471228133934
1.1224489795918373;2.473658932717144
1.3265306122448983;2.3374290707939345
1.5306122448979593;2.043883575953051
1.7346938775510203;1.8236878368233334
1.9387755102040813;1.8510731370440727
2.1428571428571432;2.1038688302157498
2.3469387755102042;2.808559918472192
2.5510204081632653;3.8531228544624905
2.755102040816327;5.340948130956626
2.959183673469388;7.159391654206473
3.163265306122449;9.158700603418492
3.36734693877551;11.204895543015585
3.571428571428571;13.19661733452543
3.775510204081632;15.024716565465754
3.979591836734695;16.6026459307049
4.183673469387756;17.9758181804394
4.387755102040817;19.136062162466086
4.591836734693878;20.206106653488412
4.795918367346939;21.236364254145506
5.0;22.376696975114005
