x;y y=6*sin(2x+1)
-10.0;-0.8893289749174893
-9.591836734693878;3.7037545667104226
-9.183673469387756;5.989426010834788
-8.775510204081632;4.51054158403593
-8.36734693877551;0.15568149109829188
-7.959183673469388;-4.265095571107201
-7.551020408163265;-5.964714590331152
-7.142857142857142;-3.9379978955217627
-6.73469387755102;0.5715959074620768
-6.326530612244898;4.760034420504422
-5.918367346938775;5.915200601234261
-5.5102040816326525;3.356868671392724
-5.1020408163265305;-1.308615444279236
-4.6938775510204085;-5.203625514982881
-4.285714285714286;-5.796578878741644
-3.8775510204081627;-2.7388118586140227
-3.4693877551020407;2.0055905343812124
-3.0612244897959187;5.508866376185135
-2.6530612244897958;5.493455256478647
-2.244897959183673;2.0190106310272724
-1.8367346938775508;-2.6779605374131226
-1.4285714285714288;-5.760208700382773
-1.020408163265305;-5.175552521158773
-0.612244897959183;-1.3641488988218824
-0.204081632653061;3.336430152472905
0.204081632653061;5.923044653784216
0.612244897959183;4.7400389466113
1.0204081632653068;0.6111489712234401
1.4285714285714288;-3.9482094083474397
1.8367346938775508;-6.001290244500841
2.2448979591836746;-4.2884428904759355
2.6530612244897966;0.17465634729124135
3.0612244897959187;4.4646387366540745
3.4693877551020407;5.957288698015897
3.8775510204081627;3.7408424990519293
4.2857142857142865;-0.9011699997707182
4.6938775510204085;-4.921195040517131
5.1020408163265305;-5.909239305076757
5.510204081632654;-3.1420089317703774
5.918367346938776;1.606431074197649
6.326530612244898;5.325318437581822
6.73469387755102;5.675349597002004
7.142857142857142;2.456564679897812
7.551020408163264;-2.3097617070965235
7.95918367346939;-5.644121877140889
8.367346938775512;-5.4014972088587
8.775510204081634;-1.7739376519015833
9.183673469387756;2.990914021550615
9.591836734693878;5.839604840972281
10.0;4.984673028109082
